gene,log2FC,pvalue,neglog10p
AL031005.2,0.0017730496453900709,0.00813481783337502,2.0896521626306757
ECE1,0.4637278795887459,3.7033996163020975e-210,10.0
AL031005.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
AL031728.1,0.0031885784452983642,0.050133699617411015,1.2998702445677273
NBPF3,0.29127322875494166,8.301282789253301e-164,10.0
ALPL,0.1340387119693516,2.6137819552165895e-56,10.0
LINC02596,0.0020267914388699074,0.08756913932765202,1.0576489182340663
RAP1GAP,0.7257463179024888,1.7535711437500867e-290,10.0
USP48,0.7798423252367863,0.0,10.0
LDLRAD2,0.013723033124637485,1.1435855075119548e-06,5.9416933821245115
HSPG2,0.6443280300843035,4.10013237837412e-253,10.0
CELA3B,0.0010131712259371835,0.04548657234186341,1.3421167874098325
LINC01635,0.001519756838905775,0.01428738127359978,1.84504736247627
LINC00339,0.1250042474063209,7.061319020533285e-80,10.0
CDC42,0.36600222751009365,3.397057817657257e-197,10.0
CDC42-AS1,0.007599169040525052,3.440229098318079e-06,5.463400011281007
CDC42-IT1,0.0035463558547775935,0.002795955874902155,2.553469671269557
WNT4,0.016909494916956872,4.0446572178869e-11,9.852488855978024
AL445253.1,0.012961807744197978,7.170819064178526e-09,8.138416662728789
ZBTB40,0.27081576306572486,6.143888755555346e-122,10.0
EPHA8,0.0007598784194528875,0.0832645067642441,1.0795400857228505
C1QA,-0.0015851519836140413,0.3211789297192075,0.49325295331676294
C1QC,-0.004303812638015257,0.02791404754880016,1.5541771845044459
C1QB,-0.007557503043104458,0.00021506563303294945,3.6674287813383786
EPHB2,0.03600668931613989,2.3388307879468342e-11,9.908725991550792
TEX46,0.0005066497539679547,0.31716494389601185,0.4987148209459914
KDM1A,0.3362844618220377,8.763043390264122e-183,10.0
AL031428.1,0.016551856688635784,6.798341667726845e-09,8.161255299279487
LUZP1,0.21661773460460537,8.282114060319228e-107,10.0
LINC01355,0.10507506867727967,2.380260402198595e-65,10.0
AL109936.6,6.414099936298762e-08,0.9998571174595716,6.205748900723472e-05
HNRNPR,0.4734711021550006,1.3103096498558012e-264,10.0
ZNF436,0.021784528318636066,1.7036423928649995e-14,9.999926018052724
ZNF436-AS1,0.02811697676274219,3.273412264937237e-19,9.999999998578375
AL109936.2,0.0028916409683926547,0.013717512787631754,1.8627246231111267
TCEA3,0.5852371022949721,0.0,10.0
ASAP3,0.3015310766431673,3.692237855930032e-155,10.0
E2F2,0.005659138092742504,0.0013894264136598085,2.8571644179805316
AL021154.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
ID3,0.00961486473965547,0.012739730800093657,1.894839745457395
AL450043.1,0.0005065856129685917,0.15732549492643708,0.8032008930658618
MDS2,0.012288459872754974,4.88643917171403e-07,6.3109186347220785
RPL11,0.3465106538109832,3.5471840513955828e-239,10.0
ELOA-AS1,0.35873864837521297,4.423471258447871e-221,10.0
ELOA,0.24523049063335856,7.664659312700878e-124,10.0
PITHD1,0.06156458311883614,1.6162532722773198e-34,10.0
LYPLA2,0.06597919887526213,4.969329871940092e-31,10.0
GALE,0.27789069913584635,3.524906982406891e-139,10.0
HMGCL,0.24805872693002837,9.135043972187513e-131,10.0
FUCA1,0.11189927196324477,1.7721494955182106e-57,10.0
CNR2,-0.003247740627569432,0.15424539950906904,0.8117877799961133
PNRC2,0.26730287990425067,1.7926026118581e-151,10.0
SRSF10,1.115314987983079,0.0,10.0
AL591178.1,0.001519820979905138,0.03381160078401725,1.4709342661275935
MYOM3,0.008086966765516877,2.05304731722608e-05,4.687598925832757
IL22RA1,0.02408817080468709,2.8251005331050066e-15,9.999987730917583
IFNLR1,0.28685848517542867,4.618061190873649e-140,10.0
LINC02800,0.0005066497539679547,0.31716494389601185,0.4987148209459914
AL138902.1,0.012899979075714038,6.244300464954998e-08,7.203821258504431
GRHL3,0.010533364282349952,2.111989312388548e-09,8.655216975731667
